                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91014,                 1.5184,                 1.2476,                0.80303,                0.77042,                0.82712,                0.60498,                0.97525,                 1.2205,                 1.4052,              0.0006659,              0.0006659,              0.0006659
                      2,                0.94834,                 1.2691,                 1.2726,                0.76208,                0.71015,                0.77282,                0.54328,                 1.0355,                 1.3754,                 1.4631,              0.0013106,              0.0013106,              0.0013106
                      3,                0.95396,                  1.192,                 1.2616,                0.86962,                0.84327,                0.89141,                0.65669,                0.95887,                 1.0328,                  1.401,              0.0019333,              0.0019333,              0.0019333
                      4,                0.93963,                 1.1056,                 1.2525,                 0.8619,                0.81006,                0.86368,                 0.6491,                0.94864,                  1.022,                 1.3674,               0.001901,               0.001901,               0.001901
                      5,                0.88912,                 1.0624,                 1.2327,                0.84633,                0.83995,                0.88137,                0.68137,                0.89533,                0.96797,                 1.3422,               0.001868,               0.001868,               0.001868
                      6,                  0.887,                 1.0292,                 1.2344,                0.86835,                0.83188,                0.87663,                0.66908,                 0.9328,                0.97627,                  1.371,               0.001835,               0.001835,               0.001835
                      7,                0.83288,                 0.9476,                 1.1902,                0.87289,                0.85071,                0.89364,                0.71882,                0.79811,                0.84484,                 1.2667,               0.001802,               0.001802,               0.001802
                      8,                0.80859,                0.90994,                 1.1816,                0.90482,                0.86306,                0.90985,                0.73613,                0.77516,                0.83247,                 1.2448,               0.001769,               0.001769,               0.001769
                      9,                0.78956,                0.87931,                 1.1743,                0.90065,                0.86566,                 0.9214,                0.74952,                0.74831,                0.80883,                 1.2087,               0.001736,               0.001736,               0.001736
                     10,                0.77728,                0.86374,                 1.1627,                0.89244,                0.86348,                0.90845,                0.74657,                0.76288,                0.79805,                 1.2553,               0.001703,               0.001703,               0.001703
                     11,                0.74969,                0.83451,                 1.1458,                0.90656,                0.85407,                0.91006,                0.75027,                0.74447,                0.80174,                 1.2136,                0.00167,                0.00167,                0.00167
                     12,                0.71539,                0.79364,                 1.1229,                0.91143,                0.91353,                0.92438,                0.77969,                0.66277,                 0.7062,                 1.1577,               0.001637,               0.001637,               0.001637
                     13,                0.71843,                0.78723,                 1.1317,                0.91752,                0.87895,                0.93298,                0.78617,                0.66071,                0.65648,                 1.1578,               0.001604,               0.001604,               0.001604
                     14,                0.70592,                0.77862,                 1.1231,                0.93399,                0.87357,                0.93008,                0.79559,                0.65372,                0.66343,                 1.1259,               0.001571,               0.001571,               0.001571
                     15,                0.69357,                0.75032,                 1.1189,                0.92454,                0.90585,                0.93361,                 0.7952,                0.65086,                0.64166,                  1.135,               0.001538,               0.001538,               0.001538
                     16,                0.66962,                0.72065,                 1.1022,                0.92718,                0.91621,                0.93988,                0.81174,                0.61538,                0.61182,                 1.1079,               0.001505,               0.001505,               0.001505
                     17,                0.67232,                0.73907,                  1.103,                0.92128,                0.91661,                0.93093,                0.80096,                0.62221,                0.64395,                 1.1178,               0.001472,               0.001472,               0.001472
                     18,                0.64738,                0.71595,                   1.08,                 0.9193,                 0.8963,                 0.9293,                0.80373,                0.61561,                0.66574,                 1.1165,               0.001439,               0.001439,               0.001439
                     19,                0.66095,                 0.7093,                 1.0985,                0.93205,                0.91459,                0.93782,                0.80444,                0.61086,                0.61823,                 1.1035,               0.001406,               0.001406,               0.001406
                     20,                0.63488,                0.66943,                 1.0807,                0.93981,                0.90921,                0.94173,                0.82011,                0.60186,                0.61709,                 1.0884,               0.001373,               0.001373,               0.001373
                     21,                0.63414,                0.67448,                 1.0804,                0.91766,                0.90989,                0.93978,                0.82141,                0.58825,                0.60568,                 1.0878,                0.00134,                0.00134,                0.00134
                     22,                0.62862,                0.66526,                 1.0728,                0.92751,                0.92071,                0.94203,                0.81976,                0.56914,                0.58938,                 1.0692,               0.001307,               0.001307,               0.001307
                     23,                0.61028,                0.65185,                 1.0671,                0.92581,                 0.9231,                0.94639,                0.84434,                0.53569,                0.55975,                 1.0497,               0.001274,               0.001274,               0.001274
                     24,                0.60302,                0.64047,                  1.063,                0.94485,                0.91013,                  0.945,                0.84424,                 0.5453,                0.56911,                 1.0484,               0.001241,               0.001241,               0.001241
                     25,                0.59297,                0.63065,                  1.053,                0.92355,                0.92603,                0.94204,                0.83631,                0.55829,                0.56918,                 1.0691,               0.001208,               0.001208,               0.001208
                     26,                 0.5903,                0.63076,                 1.0557,                0.93361,                0.90787,                0.93798,                0.83509,                0.54432,                0.56231,                 1.0475,               0.001175,               0.001175,               0.001175
                     27,                0.58466,                  0.615,                   1.05,                0.92885,                0.93058,                0.94205,                0.84382,                0.52673,                 0.5345,                 1.0368,               0.001142,               0.001142,               0.001142
                     28,                0.58332,                0.60517,                 1.0426,                0.94041,                 0.9267,                0.94608,                 0.8467,                0.51316,                0.51506,                 1.0288,               0.001109,               0.001109,               0.001109
                     29,                0.57114,                 0.5888,                 1.0424,                0.94963,                0.92939,                0.94594,                0.84954,                0.52294,                0.51339,                 1.0288,               0.001076,               0.001076,               0.001076
                     30,                0.57269,                0.59543,                 1.0428,                0.94022,                0.92013,                0.94572,                0.84624,                0.52781,                0.53012,                 1.0367,               0.001043,               0.001043,               0.001043
                     31,                0.55821,                0.58126,                 1.0392,                0.94713,                0.92763,                0.94875,                0.85672,                0.49436,                0.50943,                 1.0109,                0.00101,                0.00101,                0.00101
                     32,                0.55169,                0.58403,                 1.0333,                0.92687,                0.93751,                0.94761,                0.85497,                0.50446,                0.52818,                 1.0311,               0.000977,               0.000977,               0.000977
                     33,                 0.5407,                0.57223,                 1.0216,                0.94002,                0.92745,                0.94972,                0.86135,                0.48537,                0.51359,                 1.0093,               0.000944,               0.000944,               0.000944
                     34,                0.53942,                0.55932,                 1.0248,                0.94516,                0.92723,                0.95416,                0.87002,                0.46527,                0.46895,                0.98457,               0.000911,               0.000911,               0.000911
                     35,                0.52424,                0.56477,                 1.0185,                0.93908,                 0.9329,                0.95328,                0.86372,                0.45966,                0.47079,                0.98386,               0.000878,               0.000878,               0.000878
                     36,                0.52628,                0.54835,                 1.0179,                0.94855,                0.92978,                0.95316,                0.87093,                 0.4607,                0.47578,                0.98471,               0.000845,               0.000845,               0.000845
                     37,                0.52415,                0.54056,                  1.014,                0.95181,                0.93006,                 0.9578,                0.87738,                0.44881,                0.45621,                0.97581,               0.000812,               0.000812,               0.000812
                     38,                0.51497,                0.53617,                 1.0144,                0.94905,                0.92694,                0.95859,                0.87429,                0.46716,                0.47131,                0.99225,               0.000779,               0.000779,               0.000779
                     39,                0.51427,                0.53776,                 1.0109,                0.94244,                0.93599,                0.95542,                0.87981,                0.44243,                0.47129,                0.97164,               0.000746,               0.000746,               0.000746
                     40,                 0.5032,                0.51236,                 1.0065,                0.93787,                0.94408,                0.95672,                0.87829,                0.44819,                0.47337,                 0.9774,               0.000713,               0.000713,               0.000713
                     41,                 0.5043,                0.51844,                  1.003,                0.95587,                0.92804,                0.95412,                 0.8796,                0.44172,                 0.4576,                0.97245,                0.00068,                0.00068,                0.00068
                     42,                0.48904,                0.49928,                0.99607,                0.94115,                0.93611,                0.95314,                0.88099,                 0.4332,                0.46159,                0.96893,               0.000647,               0.000647,               0.000647
                     43,                0.49867,                0.51082,                 1.0061,                0.93899,                 0.9388,                0.95533,                0.87291,                0.43541,                0.45373,                0.97162,               0.000614,               0.000614,               0.000614
                     44,                0.48713,                0.50582,                0.99831,                0.94781,                0.92821,                0.95723,                0.88957,                0.41473,                 0.4481,                0.95639,               0.000581,               0.000581,               0.000581
                     45,                0.47237,                  0.489,                0.98926,                0.94174,                0.93478,                0.95506,                0.88002,                0.43041,                0.44741,                0.96541,               0.000548,               0.000548,               0.000548
                     46,                0.46966,                0.47593,                0.99087,                 0.9543,                0.93073,                0.95937,                0.88829,                0.42013,                0.43152,                0.95604,               0.000515,               0.000515,               0.000515
                     47,                 0.4725,                0.48148,                0.98429,                0.94706,                0.93611,                0.95749,                 0.8907,                0.41976,                0.42058,                0.96149,               0.000482,               0.000482,               0.000482
                     48,                0.47212,                0.48713,                0.98447,                0.93989,                 0.9464,                0.95981,                0.89134,                0.41626,                0.43102,                0.95551,               0.000449,               0.000449,               0.000449
                     49,                0.46234,                0.47429,                0.98062,                0.94468,                0.94165,                0.96163,                0.89605,                0.40496,                0.41897,                0.94927,               0.000416,               0.000416,               0.000416
                     50,                 0.4707,                0.49069,                0.98172,                0.94214,                0.94418,                0.96279,                0.89727,                0.39353,                0.41973,                0.93642,               0.000383,               0.000383,               0.000383
                     51,                0.42121,                0.46487,                0.98336,                0.95196,                 0.9328,                0.95701,                0.89041,                0.41453,                0.43807,                0.95893,                0.00035,                0.00035,                0.00035
                     52,                0.41914,                 0.4428,                0.98799,                0.94666,                0.93813,                0.96142,                0.89682,                0.40821,                0.42119,                0.95354,               0.000317,               0.000317,               0.000317
                     53,                0.40788,                0.43394,                0.97904,                   0.95,                0.93544,                0.95839,                0.89562,                0.39591,                0.40532,                0.94504,               0.000284,               0.000284,               0.000284
                     54,                0.39864,                0.42945,                0.96615,                0.95851,                0.91997,                0.95981,                0.90051,                0.38921,                0.41297,                 0.9326,               0.000251,               0.000251,               0.000251
                     55,                0.39286,                0.42387,                0.96641,                0.94789,                 0.9388,                 0.9638,                0.90514,                0.37426,                0.38847,                 0.9161,               0.000218,               0.000218,               0.000218
                     56,                0.38056,                0.40757,                0.95758,                0.95227,                0.93746,                0.96206,                0.90397,                0.37813,                0.40024,                0.92645,               0.000185,               0.000185,               0.000185
                     57,                0.38012,                 0.4072,                0.96907,                0.95754,                 0.9402,                0.96452,                0.90863,                0.36849,                 0.3865,                0.91523,               0.000152,               0.000152,               0.000152
                     58,                0.37353,                0.38921,                0.95048,                0.95937,                0.93692,                0.96498,                0.90721,                0.37061,                0.38813,                0.91895,               0.000119,               0.000119,               0.000119
                     59,                0.36577,                0.39531,                0.94589,                0.95603,                0.93582,                0.96363,                0.90646,                0.36686,                0.38082,                0.91555,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                 0.3637,                 0.3926,                0.94044,                0.95712,                0.93072,                0.96381,                 0.9083,                0.35838,                0.38056,                 0.9114,                5.3e-05,                5.3e-05,                5.3e-05
