                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.49663,                0.51431,                  1.002,                0.93404,                0.93342,                0.95085,                0.88135,                 0.4414,                0.45856,                0.97718,               0.000812,               0.000812,               0.000812
                     38,                0.49526,                0.51146,                 1.0071,                0.95757,                0.91997,                0.95805,                0.88825,                0.42668,                0.44409,                0.95796,               0.000779,               0.000779,               0.000779
                     39,                0.49572,                0.52113,                  1.007,                0.95379,                0.92266,                0.94785,                0.87968,                0.42906,                0.46957,                0.96785,               0.000746,               0.000746,               0.000746
                     40,                0.48233,                0.48871,                 1.0014,                0.94941,                0.93393,                0.95355,                0.88708,                0.41963,                 0.4363,                0.96068,               0.000713,               0.000713,               0.000713
                     41,                0.47986,                0.49604,                0.99986,                0.93878,                0.93849,                0.95199,                 0.8858,                0.42691,                0.44802,                0.96907,                0.00068,                0.00068,                0.00068
                     42,                0.45784,                0.48055,                0.98227,                0.94906,                0.93342,                0.95688,                0.89106,                0.40291,                0.43423,                0.94418,               0.000647,               0.000647,               0.000647
                     43,                0.47486,                0.48916,                0.99568,                 0.9467,                 0.9462,                0.95838,                 0.8922,                0.40319,                0.42636,                 0.9454,               0.000614,               0.000614,               0.000614
                     44,                0.46084,                 0.4865,                0.98793,                  0.944,                0.94082,                0.95925,                0.89958,                0.38815,                0.42343,                0.93777,               0.000581,               0.000581,               0.000581
                     45,                0.44991,                0.47487,                0.98209,                0.95555,                 0.9341,                0.96174,                0.90163,                0.40166,                0.41983,                0.94706,               0.000548,               0.000548,               0.000548
                     46,                0.44631,                 0.4624,                0.98105,                 0.9444,                0.93665,                0.95976,                0.89963,                0.39802,                0.42646,                0.94354,               0.000515,               0.000515,               0.000515
                     47,                0.44354,                0.44996,                0.97068,                0.95178,                0.94254,                0.95749,                0.90141,                0.38878,                0.40928,                 0.9345,               0.000482,               0.000482,               0.000482
                     48,                0.44566,                0.46199,                 0.9744,                0.94851,                0.94149,                0.95866,                0.90414,                0.36255,                0.39595,                0.91397,               0.000449,               0.000449,               0.000449
                     49,                0.43613,                0.44883,                0.97041,                 0.9451,                0.94933,                0.96185,                0.90825,                0.36925,                 0.3849,                 0.9186,               0.000416,               0.000416,               0.000416
                     50,                0.44173,                0.45513,                0.97556,                0.94042,                0.94466,                0.96582,                0.90854,                0.37216,                0.39575,                 0.9241,               0.000383,               0.000383,               0.000383
                     51,                0.38715,                0.42902,                 0.9662,                0.94528,                0.94217,                0.95947,                0.90319,                0.37481,                0.40315,                0.92931,                0.00035,                0.00035,                0.00035
                     52,                 0.3883,                 0.4117,                0.96971,                 0.9413,                0.94906,                0.95945,                0.90606,                0.36619,                0.38763,                 0.9182,               0.000317,               0.000317,               0.000317
                     53,                0.37534,                0.40571,                0.95991,                0.94431,                0.94486,                0.96214,                0.90988,                0.36282,                0.38516,                 0.9147,               0.000284,               0.000284,               0.000284
                     54,                0.36005,                0.39181,                0.94594,                0.95367,                0.94351,                 0.9617,                0.90899,                0.35645,                0.38778,                0.91253,               0.000251,               0.000251,               0.000251
                     55,                0.35864,                0.38681,                0.94875,                0.95743,                0.94822,                0.96458,                 0.9154,                0.34449,                0.36697,                0.90094,               0.000218,               0.000218,               0.000218
                     56,                0.34617,                0.37476,                0.93607,                0.95249,                 0.9437,                0.96433,                0.91472,                0.34126,                0.37047,                0.89942,               0.000185,               0.000185,               0.000185
                     57,                0.34205,                0.36959,                0.94746,                0.95255,                0.94506,                 0.9638,                0.91495,                0.33166,                0.36141,                0.89319,               0.000152,               0.000152,               0.000152
                     58,                0.34055,                0.35441,                0.93206,                0.95533,                0.94956,                  0.963,                0.91481,                0.33127,                0.35451,                0.89235,               0.000119,               0.000119,               0.000119
                     59,                0.32713,                0.35343,                0.92533,                0.96191,                0.93395,                0.96295,                0.91568,                 0.3301,                0.35443,                0.89313,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                0.32239,                0.34705,                0.92167,                0.94961,                0.95091,                0.96515,                0.91935,                0.32237,                0.35247,                0.88724,                5.3e-05,                5.3e-05,                5.3e-05
